fecha,tienda_id,sku_id,unidades,precio_unitario,descuento_pct,precio_final,ingresos,costo_total,margen_bruto,margen_pct
2022-01-03,T08,SKU000246,5,99000,0.1,89100,445500,220000,225500,0.5062
2022-01-03,T04,SKU000395,4,74000,0.0,74000,296000,132000,164000,0.5541
2022-01-03,T01,SKU000476,4,127000,0.0,127000,508000,228000,280000,0.5512
2022-01-03,T01,SKU000977,1,59000,0.2,47200,47200,27000,20200,0.428
2022-01-03,T12,SKU001044,2,173000,0.3,121100,242200,156000,86200,0.3559
2022-01-03,T10,SKU000558,4,110000,0.0,110000,440000,200000,240000,0.5455
2022-01-03,T03,SKU001018,1,195000,0.2,156000,156000,88000,68000,0.4359
2022-01-03,T09,SKU000883,8,52000,0.0,52000,416000,184000,232000,0.5577
2022-01-03,T07,SKU000147,3,41000,0.0,41000,123000,54000,69000,0.561
2022-01-03,T02,SKU000666,3,83000,0.0,83000,249000,111000,138000,0.5542
2022-01-03,T09,SKU000620,2,81000,0.0,81000,162000,72000,90000,0.5556
2022-01-03,T10,SKU000820,8,54000,0.0,54000,432000,192000,240000,0.5556
2022-01-03,T02,SKU000864,1,62000,0.0,62000,62000,28000,34000,0.5484
2022-01-03,T03,SKU000582,2,113000,0.0,113000,226000,102000,124000,0.5487
2022-01-03,T11,SKU001023,1,184000,0.0,184000,184000,83000,101000,0.5489
2022-01-03,T10,SKU000695,1,92000,0.0,92000,92000,41000,51000,0.5543
2022-01-03,T02,SKU001126,1,194000,0.0,194000,194000,87000,107000,0.5515
2022-01-03,T03,SKU000407,4,83000,0.0,83000,332000,148000,184000,0.5542
2022-01-03,T06,SKU000399,14,83000,0.0,83000,1162000,518000,644000,0.5542
2022-01-03,T09,SKU000715,6,82000,0.2,65600,393600,222000,171600,0.436
2022-01-03,T09,SKU000704,4,84000,0.1,75600,302400,152000,150400,0.4974
2022-01-03,T07,SKU000761,11,58000,0.0,58000,638000,286000,352000,0.5517
2022-01-03,T12,SKU000499,1,111000,0.0,111000,111000,50000,61000,0.5495
2022-01-03,T03,SKU000974,1,63000,0.2,50400,50400,29000,21400,0.4246
2022-01-03,T04,SKU000082,4,44000,0.0,44000,176000,80000,96000,0.5455
2022-01-03,T06,SKU000604,3,83000,0.0,83000,249000,111000,138000,0.5542
2022-01-03,T11,SKU000772,2,57000,0.0,57000,114000,52000,62000,0.5439
2022-01-03,T05,SKU000903,1,61000,0.5,30500,30500,27000,3500,0.1148
2022-01-03,T02,SKU000365,2,85000,0.0,85000,170000,76000,94000,0.5529
2022-01-03,T06,SKU000163,1,45000,0.0,45000,45000,20000,25000,0.5556
